Nike Global Manufacturing Data Export - Filters applied: ((none)),,,,,,,,,,,,,,,,,,
Factory Name,Product Type,"Nike, Inc. Brand(s)",Events,Address,City,State,Postal Code,Country,Operating Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Contact Name,Contact Phone,Contact Fax,Contact Email,Subcons
PANCON KNITS PRIVATE LIMITED,Apparel,Converse,,"NO.5-6, KARTHIK COMPLEX, VALIPALAYAM MAIN ROAD, TIRUPUR-641 601.",TIRUPUR,TAMILNADU,641601,India,Emerging Markets,300,120,50,0,,,,,
HINI DAIKI INDONESIA,Equipment,Converse,,"JL. RAYA CIAWI KP. KEBON BENCOY, DESA MEKARWANGI, KEC. CISAYONG",TASIKMALAYA,JAWA BARAT,46153,Indonesia,Emerging Markets,412,371,46,1.1,,,,,
PT KMK GLOBAL SPORTS/ K2,Footwear,Converse,,JL.CIKUPAMAS RAYA NO.17,TANGERANG,BANTEN,15810,Indonesia,Emerging Markets,2902,2716,65,0.3,,,,,
PT METRO PEARL INDONESIA,Footwear,Converse,,"JALAN PRAMUKA RAYA KM.0.99, NO.18  DESA BUNDER,KECAMATAN, JATILUHUR",PURWAKARTA,JAWA BARAT,41161,Indonesia,Emerging Markets,851,803,50,0,,,,,
PT RUBBER TECH JAYA INDONESIA,Footwear,Converse,,"JI, RAYA SERANG KM.8, TELESONIC UJUNG NO.121",TANGERANG,BANTEN,15530,Indonesia,Emerging Markets,390,11,20,18.2,,,,,
PT. AMARA FOOTWEAR,Footwear,Converse,,"KOMPLEK CCIE BLOCK A5-A8, JI.RAYA KAMURANG CITEUREUP, BOGOR-WEST JAVA",BOGOR,WEST JAVA,16900,Indonesia,Emerging Markets,5105,4380,90,0.9,,,,,
PT. MAREL SUKSES PRATAMA,Equipment,Converse,,"JL. BARU MULUNGAN GONDANG PENEN RT. 05/RW 28 SENDANGADI, SLEMAN",YOGYAKARTA,DI YOGYAKARTA,55285,Indonesia,Emerging Markets,206,181,50,0,,,,,
PT. TASINDO TASSA INDUSTRIES,Equipment,Converse,,JL. RAYA SERANG KM 13.8 CIKUPA,TANGERANG,BANTEN,15710,Indonesia,Emerging Markets,562,467,51,0.4,,,,,
PT.GLOSTAR INDONESIA,Footwear,Converse,,JL.PELABUHAN II KM 14.5 JAWA BARAT,SUKABUMI,WEST OF JAVA,43161,Indonesia,Emerging Markets,6229,2850,90,0,,,,,
DOMINAE SRL,Apparel,Converse,,VIALE DELLE INDUSTRIE 43,DOSSON DI CASIER,TV,31030,Italy,Western Europe,7,7,100,0,,,,,
GREEN MODE SNC,Apparel,Converse,,"VIA ARTIGIANATO 128,",S.STEFANO ZIMELLA (VR),,37040,Italy,Western Europe,17,15,95,6.7,,,,,
MAROBE SRL,Apparel,Converse,,VIA DELLA SOLDARA 13,VANZAGHELLO (MI),,20020,Italy,Western Europe,16,9,80,0,,,,,
BOKWANG INC,Equipment,Converse,,340-2 HONGEUN 3 DONG,,SEODAEMUN GU,120-848,Korea,Emerging Markets,4,2,75,0,,,,,
DAE HUNG PRECISION RUBBER CO,Footwear,Converse,,"722-2 MORA-DONG, SASANG KU",BUSAN,,,Korea,Emerging Markets,48,40,33,0,,,,,
DEA WON F&C,Apparel,Converse,,"DEAA BUILDING 5TH FLOOR, #410-2 BUNJI, MANGWOO-DONG, JOONGRANG-GU",SEOUL,JOONGRANG-GU,133-160,Korea,Emerging Markets,15,12,85,0,,,,,
DONGCHUN CAP CORPORATION,Equipment,Converse,,#288-1燞AGYE-DONG,SEOUL,NOWON-GU,,Korea,Emerging Markets,58,43,32,0,,,,,
EUNSEONG.CO.LTD,Footwear,Converse,,"727-2, MO RAH DONG, SA SANG KU",BUSAN,,617-823,Korea,Emerging Markets,40,32,37,0,,,,,
KWANG HYUN INDUSTRY,Footwear,Converse,,"105-19, KUMSA DONG, KUM JUNG KU",BUSAN,,,Korea,Emerging Markets,22,22,82,0,,,,,
KYEONG DUK INDUSTRY,Footwear,Converse,,"444-11, HOEDONG DONG, KUM JUNG KU",BUSAN,,,Korea,Emerging Markets,18,18,40,0,,,,,
SEIL TRADE CO.,Footwear,Converse,,"116-2, KUEMSA-DONG, KUEMJUNG-GU",BUSAN,,,Korea,Emerging Markets,42,34,95,0,,,,,
"SHIN HEUNG CO.,LTD",Footwear,Converse,,"173-17, UAM-DONG, NAM-GU",BUSAN,,,Korea,Emerging Markets,30,29,86,0,,,,,
SOENG WOO COMPANY,Footwear,Converse,,"267-1 DUK PO DONG, SA SANG KU",BUSAN,,,Korea,Emerging Markets,27,26,89,19.2,,,,,
SONG KWANG COMPANY,Footwear,Converse,,276-4 MORA-DONG SASANG-GU,BUSAN,,,Korea,Emerging Markets,51,38,75,0,,,,,
"TAE SUNG IND. CO, LTD.",Footwear,Converse,,408-5 AN-DONG,GIMHAE,GYEONGNAM,,Korea,Emerging Markets,53,40,73,0,,,,,
MY SOCKS MALAYSIA SDN BHD,Equipment,Converse,,"BLOCK A, LOT PT25146P, JALAN GELAM2,",GONG BADAK,TERENGGANU,21300,Malaysia,Emerging Markets,66,58,57,36.2,,,,,
"ACABADORA DE PRENDAS DE SAN JUAN I, S.A. DE C.V.",Apparel,Converse,,RANCHO LOS MEJIA S/N,SAN JUAN R蚈,QUER蒚ARO,76800,Mexico,Emerging Markets,1133,1012,51,0,,,,,
CALCETINES DE EXPORTACI覰 SAN JOS?S.A. DE C.V,Equipment,Converse,,CARRETERA FEDERAL M蒟ICO PUEBLA KM. 90.5,HUEJOTZINGO,PUEBLA,74160,Mexico,Emerging Markets,118,100,58,0,,,,,
CONFECCIONES DE LA ROSA S.A. DE C.V.,Apparel,Converse,,CALLE 16 DE SEPTIEMBRE S/N COLONIA PAPALOAPAN,HUEYTAMALCO,PUEBLA,73580,Mexico,Emerging Markets,247,222,50,0,,,,,
CONFECCIONES TEXTILES DE TEZIUTLAN S.A. DE C.V.,Apparel,Converse,,AV. SAN RAFAEL 65 SECC II BARRIO AHUATENO,TEZIUTLAN,PUEBLA,73830,Mexico,Emerging Markets,771,738,31,0,,,,,
"GRUPO COMERCIAL YAZBEK, S.A.DE C.V.",Apparel,Converse,,CARR FEDERAL 57 KM 60.2 SAN LUIS POTOSI - QRO,SAN JOSE ITURBIDE,GUANAJUATO,,Mexico,Emerging Markets,2334,1814,62,0,,,,,
RINTEX S.A. DE.CV,Apparel,Converse,,"CAMINO A SAN GASPAR NO. 10, MIGUEL HIDALGO",JIUTEPEC,MORELOS,62550,Mexico,Emerging Markets,800,500,60,0,,,,,
SERVI TEXTILES S.A. DE C.V.,Apparel,Converse,,"AVENIDA DEL PARQUE 67, PARQUE INDUSTRIAL LERMA, LERMA, TOLUCA",LERMA,ESTADO DE MEXICO,52000,Mexico,Emerging Markets,366,273,75,0.4,,,,,
ROBLES S.A.,Apparel,Converse,,MADRES PARAGUAYAS Y RECONSTRUCCI覰 NACIONAL,SAN LORENZO,,10018,Paraguay,Emerging Markets,188,188,58,0,,,,,
CANGALLO Y CIA S.A.,Apparel,Converse,,"CALLE LOS EBANISTAS 108, URB EL ARTESANO, ATE, LIMA 3",LIMA,LIMA,3,Peru,Emerging Markets,53,36,34,0,,,,,
COTTON KINZ,Apparel,Converse,,"LUIS GALVANI 107,",LIMA,LIMA,Lima 3,Peru,Emerging Markets,255,213,52,0,,,,,
IBSA,Apparel,Converse,,AV. ARGENTINA #2203,LIMA,,,Peru,Emerging Markets,480,380,53,0,,,,,
SERVICIO DE CONFECCIONES A-1 S.A.C.,Apparel,Converse,,AV. PRINCIPAL MZ M LTE 稟-III CAMPOY SAN JUAN DE LURIGANCHO,,LIMA,,Peru,Emerging Markets,28,23,57,0,,,,,
ARGEE CAPS & BAGS CORP. (SMARTGAIN ENTERPRISES CORP),Equipment,Converse,,"39-A BANANA ROAD, POTRERO",MALABON,METRO MANILA,1475,Philippines,Emerging Markets,26,22,81,0,,,,,
BEAUTOP INC.,Apparel,Converse,,"PHASE 5 BLOCK 6, LOT 4, STERLING INDUSTRIAL PARK LIBTONG",MEYCAUAYAN,BULACAN,3020,Philippines,Emerging Markets,25,15,99,0,,,,,
BLESSLY INTERNATIONAL CORPORATION,Apparel,Converse,,"NO. 7 NANGKA ROAD, POTRERO",MALABON,METRO MANILA,1475,Philippines,Emerging Markets,31,28,90,0,,,,,
NELSER ENTERPRISES INC.,Apparel,Converse,,"2345 SERGIO OSMENA H-WAY MALATE, MANILA",MANILA,METRO MANILA,,Philippines,Emerging Markets,12,8,75,0,,,,,
MANDARIN KNITS GARMENT (PRIVATE) LIMITED,Apparel,Converse,,"PHASE 1, INVESTMENT PROMOTION ZONE, KATUNAYAKE, SRI LANKA",KATUNAYAKE,WESTERN,,Sri Lanka,Emerging Markets,366,320,75,0,,,,,
"L'ACTION SPORTS MFG. CO., LTD.",Apparel,Converse,,"#96,LANE 29, HWA CHENG RD.",NEW TAIPEI CITY,TAIWAN,242,Taiwan,Greater China,45,35,76,42.9,,,,,
"SONYGOOD INDUSTRIES CO., LTD.",Equipment,Converse,,"P.O. BOX 46 YUANLI, NO.184, FU TIEN LI",MIAOLI HSIN,,,Taiwan,Greater China,61,39,80,38.5,,,,,
"YAU SHUENN INDUSTRIAL CO., LTD.",Equipment,Converse,,"NO. 5, ALLEY 4, LANE 309, HSIN KANG RD., SHIN KANG TOWN",CHANG HWA,,50901,Taiwan,Greater China,6,4,75,0,,,,,
"YUNG RING ENTERPRISE CO., LTD.",Apparel,Converse,,"NO.10, JIUN-YNG ST., SHU-LIN CITY",SHU-LIN,TAIPEI,238,Taiwan,Greater China,74,47,93,25.5,,,,,
"ANTICE CO., LTD.",Equipment,Converse,,"547-555  CHAROENNAKORN SOI 40,  CHAROENNAKORN RD.",BANGKOK,BANGKOK,10600,Thailand,Emerging Markets,169,147,80,0,,,,,
"BENEFIT SHOES CO., LTD.",Footwear,Converse,,"63/9 M.1, SOI RUAMCHAI, PRARAM II RD., SAMAEDAM BANGKHUNTHEIN",BANGKOK,,,Thailand,Emerging Markets,496,466,78,0,,,,,
"FOUR SEAS GARMENT CO., LTD.",Apparel,Converse,,"35/7-14 SOI EKKACHAI 66/5,",BANGBON,BANGKOK,10150,Thailand,Emerging Markets,385,302,75,45.4,,,,,
ATOMIK TEKSTIL SAN. VE TIC. A.S.,Apparel,Converse,,B躖躃 HALKALI MERKEZ MAH. BASIN EKSPRESS YOLU NO 5/B KAT 3  K蹸躃CEKMECE,ISTANBUL,,,Turkey,Central and Eastern Europe,288,233,75,0,,,,,
AZIM CORAP,Equipment,Converse,,"4 BOLGE, SANAYI 1 BULVARI, BUYUKCEKMECE",ISTANBUL,,,Turkey,Central and Eastern Europe,325,294,32,0,,,,,
BENTSPOR TEKST?L KONF. SAN. T?C. LTD.ST?.,Apparel,Converse,,BA?LAR MAH.. ATAT躌K CAD. NERG?S SOK. NO:11 G躈E?L? BA?CILAR,ISTANBUL,,34212,Turkey,Central and Eastern Europe,38,30,14,0,,,,,
MERT TEKSTIL,Apparel,Converse,,"BEYLIKDUZU MEVKII, BAKIR VE PIRINC SANAYI SITESI SARDUNYA CADDESI NO:8 BUYUKCEKMECE",ISTANBUL,B?Y?K?EKMECE,34500,Turkey,Central and Eastern Europe,80,72,33,0,,,,,
RELAKS TEKSTIL,Apparel,Converse,,EFIRLI K諽?CANIK MAH AK茿OVA MEVKII PERSEMBE,ORDU,,,Turkey,Central and Eastern Europe,290,270,80,0,,,,,
BLUE PRINT LAUNDRY,Apparel,Converse,,924 NEWARK AVE,JERSEY CITY,NEW JERSEY,10018,USA,North America,3,2,0,0,,,,,
HICKORY BRANDS INC.,Equipment,Converse,,429 27TH STREET NW,HICKORY,NORTH CAROLINA,28601,USA,North America,155,135,65,0,,,,,
ADORA FOOTWEAR LIMITED,Footwear,Converse,,TAM DIEP INDUSTRIAL ZONE,TAM DIEP TOWN,NINH BINH PROVINCE.,,Vietnam,Emerging Markets,3707,3037,60,3.1,,,,,
"AURORA INDUSTRIAL(VIETNAM) FOOTWEAR CO., LTD.",Footwear,Converse,,"THIEN HUONG COMMUNE, THUY NGUYEN DISTRICT",HAIPHONG,,,Vietnam,Emerging Markets,5581,4192,86,2.3,,,,,
CHI NHANH CONG TY TNHH TY XUAN,Footwear,Converse,,"THAP MUOI DISTRICT, DONG THAP PROVINCE, VIETNAM","MY AN TOWN, THAP MUOI DISTRICT",DONG THAP PROVINCE,,Vietnam,Emerging Markets,3032,2911,89,0,,,,,
DAH-CHEN SHOE MATERIALS LTD,Footwear,Converse,,"D10/89Q NATIONAL HIGHWAY 1A, TAN TAO WARD, BINH TAN DISTRICT. HO CHI MINH CITY. VN",HCMC,,,Vietnam,Emerging Markets,413,150,70,86.7,,,,,
EVERBEST(VIETNAM)FOOTWEAR LTD.,Footwear,Converse,,"CAM SON WARD, CAM PHA TOWN",CAM PHA,QUANG NINH,?,Vietnam,Emerging Markets,2246,1877,91,0,,,,,
"FOOTGEARMEX FOOTWEAR CO., LTD",Footwear,Converse,,162A HO HOC LAM STREET,HO CHI MINH,,,Vietnam,Emerging Markets,2017,1748,87,0,,,,,
HONG FU (VIETNAM) FOOTWEAR LIMITED (HFN),Footwear,Converse,,HOANG LONG INDUSTRIAL ZONE,HOANG HOA DISTRICT,THANH HOA PROVINCE,41000,Vietnam,Emerging Markets,5410,4717,85,2.5,,,,,
NGHI HUNG CO. LTD.,Apparel,Converse,,"122, 3/2 ST. DIST. 10, HCMC, VIETNAM",HO CHI MINH,,70000,Vietnam,Emerging Markets,10,5,90,0,,,,,
POUYUEN VIETNAM COMPANY LTD.,Footwear,Converse,,"D10/89Q NATIONAL  HIGHWAY 1A, TAN TAO WARD, BINH TAN DIST.",HCM,BINH TAN,84,Vietnam,Emerging Markets,3398,7,90,0,,,,,
"VINH LONG FOOTWEAR CO., LTD.",Footwear,Converse,,"HOA PHU INDUSTRIAL ZONE, VINH LONG PROVINCE, VIETNAM",LONG HO,VINH LONG,91000,Vietnam,Emerging Markets,8990,7441,81,0,,,,,
"HENG SHENG OPTICAL MANUFACTORY, LTD.",Equipment,"Converse, Cole Haan",,"NO.43 XIN FENG ROAD, XI MIN VILLAGE, CHANG AN TOWN",DONGGUAN,GUANG DONG,523879,China,Greater China,210,152,50,0,,,,,
HSIEH DA RUBBER LTD,Footwear,"Converse, Cole Haan",,NO.5 LIYE ROAD DONGCHONG TOWN,GUANGZHOU,GUANGDONG,511453,China,Greater China,3154,2582,50,0,,,,,
UNITED CREATION OPTICAL,Equipment,"Converse, Cole Haan",,"TIESONG DISTRICT, QINGXI TOWN,",DONGGUAN,GUANGDONG,,China,Greater China,206,191,36,0,,,,,
MATRIX - COMBINED FABRICS LIMITED,Apparel,"Converse, Hurley",,ATTA BUKSK ROAD (OFF BANK STOP) 17KM FEROZPUR ROAD LAHORE,LAHORE,PUNJAB,54760,Pakistan,Emerging Markets,1314,688,8,0,,,,,
SCREENPRINT CONCEPTS,Apparel,Hurley,,2 MONTEFIORE STREET,FAIRFIELD,VICTORIA,3078,Australia,Emerging Markets,10,8,50,0,,,,,
"FLEXFIT,LLC/YUPOONG-DHAKAREA LTD.",Equipment,Hurley,,DHAKA EXPORT PROCESSING ZONE(EXTENSION ZONE),SAVAR,DHAKA,1349,Bangladesh,Emerging Markets,2866,2596,82,0,,,,,
INTERNATIONAL KNITWEAR & APPAREL LTD.,Apparel,Hurley,,"BEXIMCO TEXTILES DIVISION, BEXIMCO INDUSTRIAL PARK, SARABO, KASHIMPUR  ",GAZIPUR,GAZIPUR,,Bangladesh,Emerging Markets,2000,1707,29,0,,,,,
C&E CONFECCOES LTDA,Apparel,Hurley,,"R LUIZ WESTPHAL , 386",SAO GABRIEL DA PALHA,,,Brazil,Emerging Markets,200,169,50,0,,,,,
EPOS JEANS    ,Apparel,Hurley,,"AVENIDA ANTONIO SAMADELO , 329",IPAUSSU - SP,SP,,Brazil,Emerging Markets,172,75,70,0,,,,,
EVOLUCAO TEXTIL  ,Apparel,Hurley,,"R PROFESSOR MAX HUMPL  , 273  ",BLUMENAU -SC ,SP,,Brazil,Emerging Markets,22,17,95,0,,,,,
GORDON AND SMITH       ,Apparel,Hurley,,"RUA BELEM , 212   ",S肙 PAULO,SP,,Brazil,Emerging Markets,70,60,40,0,,,,,
PITUKA,Apparel,Hurley,,"AVENIDA JO肙 PAULO ABLAS ,592 ",COTIA,SP,,Brazil,Emerging Markets,140,130,61,0,,,,,
COVEE - QUNYING,Equipment,Hurley,,"275 KUANXIN RD., HUANGCANG",QIDONG CITY,JIANGSU,226226,China,Greater China,101,81,90,0,,,,,
JING JIN TRAVELLING BAGS MANUFACTORY LTD.,Equipment,Hurley,,"1ST INDUSTRIAL ZONE,BANTIAN,BUJI,SHEN ZHEN,CHINA",SHEN ZHEN,GUANGDONG,,China,Greater China,1200,438,60,0,,,,,
JING LUN ACCESSORIES LTD,Equipment,Hurley,,NO.2653 XINGGONG ROAD PINGHU ECONOMIC DEVELOPMENT ZONE,PINGHU,ZHEJING,314000,China,Greater China,66,58,74,1.7,,,,,
"KJ SPORTSWEAR (YANGZHOU) CO.,LTD.",Apparel,Hurley,College,"SHIQIAO INDUSTRAL ESTATE,YANGZHOU ECONOMIC DEVELOPMENT ZONE",YANGZHOU,JIANGSU,225101,China,Greater China,198,112,82,0,JAMES WANG,86-25-83613967,86-25-83613901,James@kjsportswear.net,
"MANIPEARL-DONG GUAN JINLUNG FASHION CO., LTD",Apparel,Hurley,,QUIFU ROAD INDUSTRY ZONE,DONGGUAN,GUANGDONG,523778,China,Greater China,450,330,60,0,,,,,
MILLION GLORY ENTERPRISES LTD.,Equipment,Hurley,,"BLOCK2,YINQIAO ROAD,CHA QIAO EASTERN AREA",ZHONGSHAN CITY,GUANGDONG,528472,China,Greater China,186,170,51,0,,,,,
"NEW TIMES-DONGGUAN EASTSUN FASHION CO., LTD",Apparel,Hurley,,DONGGUAN QISHI TOWN SHAN TUNG MANAGEMENT INDUSTRIAL AREA,DONGGUAN,GUANGDONG,0,China,Greater China,230,120,67,150,,,,,
"NEW TIMES-MONSAREE GARMENT CO., LTD",Apparel,Hurley,,NO. 21 PINGBU ROAD HUADU REGION,GUANGZHOU,GUANGDONG,0,China,Greater China,280,240,54,100,,,,,
NING BO EASTEX GARMENT FTY LTD (EAST CONCEPTS),Apparel,Hurley,,"NO.219 D BUILDING, DONGSHENG ROAD,",NINGBO,ZHEJIANG,315221,China,Greater China,420,340,60,0,,,,,
"NINGBO EVANS TEXTILES CO, LTD.",Apparel,Hurley,,"XIN LE CUN , QIU AI TOWN",NINGBO,ZHEJIANG,315101,China,Greater China,515,464,80,0,,,,,
"NINGBO HUA HONG FASHION CO., LTD.",Apparel,Hurley,,"NO. 668 JIANGBEI AVENUE, HONGTANG TOWN",NINGBO,ZHEJIANG,,China,Greater China,100,60,34,0,,,,,
"NINGBO ISUN FASHION CO., LTD",Apparel,Hurley,College,EAST FENGHUA INDUSTRIAL DEVELOPMENT ZONE.,FENGHUA,ZHEJIANG,315500,China,Greater China,800,25,60,240,LEI ZHANG,+86 13968312262,+86 574 8895 0000,steve@nbisun.com,
POLYSEW APPAREL (GUANGZHOU) LTD,Apparel,Hurley,,"XIOALONG VIL, SHIJI TOWN PANYU AREA",GUANGZHOU CITY,GUANGDONG,511450,China,Greater China,43,39,81,0,,,,,
"QUANZHOU GIMWOO PLASTIC INDUSTRY CO., LTD.",Equipment,Hurley,,"YINGBIN EAST ROAD, CHENGNAN INDUSTRIAL ZONE, HUIAN",QUANZHOU CITY,FUJIAN PROVINCE,362100,China,Greater China,150,120,60,0,,,,,
RUI LIN KNITTING FACTORY APL,Apparel,Hurley,,"NO.6 CUI HUA ROAD CHANG FA INDUSTRIAL AREA FU SHAN,LIAO BU TOWN",DONG GUAN CITY,GUANGDONG,0,China,Greater China,450,370,60,0,,,,,
"SHANGHAI LIANLE GARMENT CO.,LTD",Apparel,Hurley,,"BULLDING O,INDUSTRIAL PARK LVXIANG TOWN JINSHAN DISTRICT",SHANGHAI,SHANGHAI,0,China,Greater China,70,66,72,0,,,,,
TAISHAN CITY PARLICO GARMENT LIMITED (UGI/PARLICO),Apparel,Hurley,,"NO. 18, QIAOHU RD, TAICHENG, TAISHAN CITY, CHINA.",TAISHAN,GUANGDONG,,China,Greater China,294,200,70,0,,,,,
UNION TREND - DONGGUAN DONGCHENG JIA WEN GARMENT FACTORY,Apparel,Hurley,,"WENZHOU NORTH ROAD, WENTANG INDUSTRIAL ZONE,",DONGGUAN,GUANGDONG,523000,China,Greater China,406,362,54,0,,,,,
YANCHENG YONGYUE CLOTHING FACTORY,Apparel,Hurley,,"YONGXING 2ND RD, JIANHU COUNTY,",YANCHENG,JIANGSU,,China,Greater China,100,80,72,0,,,,,
ZHONGSHAN NEW GOLD TEXTILE APPAREL LTD,Apparel,Hurley,,"SHASHUI ROAD, SHAXI",ZHONG SHAN,GUANGDONG,528471,China,Greater China,440,400,60,0,,,,,
ACCESORIOS DE COSTURA Y SERIGRAFIA (ACSSA),Apparel,Hurley,,KM.16.5 A SAN JUAN SACATEPEQUEZ,MIXCO,GUATEMALA,,Guatemala,Emerging Markets,232,202,65,0,,,,,
"MODAS MARU,S.A.",Apparel,Hurley,,"1A. CALLE 1-75 ZONA 1, VILLA NUEVA",GUATEMALA,,1064,Guatemala,Emerging Markets,580,364,65,0.5,,,,,
MYDYER - LNK TRADING S.A.,Apparel,Hurley,College,"AVE PETAPA 52-30, AVE PETAPA 52-30",GUATEMALA CITY,,0,Guatemala,Emerging Markets,450,400,75,0,JH (MR. SEUNG) SEUNG,502-2479-4603/08,502-2477-4817 ,jhseung@lnk-global.com,
GENE APPARELS,Apparel,Hurley,,"374-A,15,VELAMPALAYAM ROAD, ANUPPAR PALAYAM PUDUR",TIRUPUR,TAMILNADU,641652,India,Emerging Markets,225,167,30,0,,,,,
KAPILLA - GOODWILL FABRICS PVT. LTD.,Apparel,Hurley,,"#10-11, BEGUR HOBOLI, SINGASANDRA VILLAGE, HOSUR MAIN ROAD",BANGALORE,KARNATAKA,,India,Emerging Markets,240,208,60,0,,,,,
TEXTPORT (KAMON-IS AGENT),Apparel,Hurley,,NO.7 NAGASANDRA POST,BANGLORE,BANGLORE,73,India,Emerging Markets,650,365,75,0,,,,,
WOOL SPUNS LTD,Apparel,Hurley,,"117, INDUSTRIAL SUBURB 2ND STAGE, 5TH MAIN,YESHWANTPUR",BANGLORE,KARNATAKA,560022,India,Emerging Markets,478,40,60,0,,,,,
AQUA SEA CLOTHING CO - DISE袿S TEXTILES S. DE R.L. DE C.V.,Apparel,Hurley,,CALLE CAMICHIN #30,TIJUANA,BAJA CALIFORNIA,22115,Mexico,Emerging Markets,172,100,44,0,,,,,
AQUA SEA CLOTHING CO. - RI PRINTING,Apparel,Hurley,,CALLE NESTOR OLIVA#1,ENSENADA,BAJA CALIFORNIA,22780,Mexico,Emerging Markets,42,35,70,0,,,,,
OPTIMA/AVANTE,Apparel,Hurley,,AV. INDUSTRIA AUTOMOTRIZ NO. 128,EL COECILLO,TOLUCA,50200,Mexico,Emerging Markets,6010,4000,80,0,,,,,
VILLA VICTORIA,Apparel,Hurley,,LIBRAMIENTO A PALIZADA S/N VILLA VICTORIA,ESTADO DE MEXICO,CP,,Mexico,Emerging Markets,397,355,66,0,,,,,
"SHEICO (THAILAND) CO., LTD.",Apparel,Hurley,,"88/8 MOO 4,",RAYONG,PLUAK DANG,10310,Thailand,Emerging Markets,2307,1682,70,0,,,,,
MASSIVE PRINTS,Apparel,Hurley,,2035 E. VISTA BELLA WAY,RANCHO DOMINGUEZ,CA,90220,USA,North America,600,525,64,0,,,,,
"RAJ MANUFACTURING, LLC",Apparel,Hurley,,2692 DOW AVENUE,TUSTIN,CA,92780,USA,North America,200,100,80,0,,,,,
MV SHOES SRL,Footwear,Nike,,MU袸Z 1950,BUENOS AIRES,BUENOS AIRES,1240,Argentina,Emerging Markets,280,212,16,6.6,,,,,
R. A. INTERTRADING S. A.,Apparel,Nike,,JOSE IGNACIO RUCCI 3951,CAPITAL FEDERAL,BUENOS AIRES,C1439FVQ,Argentina,Emerging Markets,306,263,52,46.4,,,,,
R. A. INTERTRADING S. A.,Apparel,Nike,,POLA 2345,CAPITAL FEDERAL,BUENOS AIRES,C1440FVQ,Argentina,Emerging Markets,78,73,52,69.9,,,,,
RIG CAFFERATA,Apparel,Nike,,CAFFERATA 4930,CASEROS,BUENOS AIRES,C1678FVQ,Argentina,Emerging Markets,124,118,52,27.1,,,,,
SEDAMIL S.A. C.I.,Apparel,Nike,,AV. DORREGO 737,BUENOS AIRES,BUENOS AIRES,1414,Argentina,Emerging Markets,449,303,66,3,,,,,
SUOLA SA,Footwear,Nike,,AV FRANCISCO RABANAL 3220,BUENOS AIRES,BUENOS AIRES,1437,Argentina,Emerging Markets,259,223,9,1.8,,,,,
TECNOSPORT LATINOAMERICANA S.A.,Footwear,Nike,,AVENIDA FLANDES N?1272  PARQUE INDUSTRIAL VILLA FLANDRIA,LUJAN,BUENOS AIRES,0,Argentina,Emerging Markets,129,125,60,0,,,,,
TEXTIL SPORT TECH S.A.,Apparel,Nike,,ITUZAINGO 1001,LUJAN,BUENOS AIRES,6700,Argentina,Emerging Markets,95,94,50,6.4,,,,,
COMPUKNIT HOSIERY AUSTRALIA P/L,Equipment,Nike,,13 CHAFFEY STREET,THOMASTOWN,VICTORIA,3074,Australia,Emerging Markets,27,22,60,0,,,,,
PROTOP AUSTRALIA,Apparel,Nike,,30 GREEN STREET,MELBOURNE,VICTORIA,3074,Australia,Emerging Markets,32,30,82,0,,,,,
RT CLOTHING GOLD COAST,Apparel,Nike,,36 EXPORT DRIVE,MOLENDINAR,QUEENSLAND,4214,Australia,Emerging Markets,40,36,98,0,,,,,
FASHION CLUB INTERNATIONAL (BD) LTD,Apparel,Nike,,"PLOT NO.: 36-39, DEPZ, GANAKBARI","SAVAR, DHAKA",,1349,Bangladesh,Emerging Markets,2408,1106,45,0,,,,,
KARNAPHULI SPORTSWEAR IND. LTD.,Apparel,Nike,,"PLOT # 9-11& 18-20, SECTOR #  7",CHITTAGONG,,4223,Bangladesh,Emerging Markets,7801,4525,70,0,,,,,
LYRIC FASHION WEAR LTD,Apparel,Nike,,CHANDONA-NALJANI,GAZIPUR,DHAKA,1702,Bangladesh,Emerging Markets,1350,1129,70,0,,,,,
LYRIC INDUSTRIES (PVT) LTD.,Apparel,Nike,,"MOLLAH TOWER (7TH, 8TH, 9TH FLOOR),464-WEST RAMPURA",DHAKA,,1219,Bangladesh,Emerging Markets,767,661,70,0,,,,,
YOUNGONE HI-TECH SPORTSWEAR IND.LTD.,Apparel,Nike,,"PLOT # 1-4,9-12, DHAKA EXPORT PROCESSING ZONE",DHAKA,DHAKA,1349,Bangladesh,Emerging Markets,8480,5663,74,0,,,,,
SPORTEK,Footwear,Nike,,MILOSA OBLICA,KOTOR VAROS,BANJA LUKA,78220,Bosnia,Emerging Markets,1000,928,80,0,,,,,
BLUSAS KIRBY INDUSTRIA E COM蒖CIO LTDA,Apparel,Nike,,"AV. SANTANA DO MUNDAU, 800",GUARULHOS,S肙 PAULO,07242-190,Brazil,Emerging Markets,36,35,99,0,,,,,
CAL茿DOS ANIGER NORDESTE LTDA -FILIAL 01,Footwear,Nike,,"RUA ARMINDO ELTZ, NO. 111",CAMPO BOM,RS,93700-000,Brazil,Emerging Markets,332,214,47,0,,,,,
COOPERATIVA DE CAL茿DOS QUIXERAMOBIM,Footwear,Nike,,"RUA GERALDO BIZARRIA DE CARVALHO, 35",QUIXERAMOBIM,CEAR ,63800-000,Brazil,Emerging Markets,3194,3091,52,0,,,,,
